,name,description
1334,moonnam pakkam,an old man spends his life in solitude awaiting his grandson to come for vacation after 6 years. he thought he was the most happiest man in the world until he found out that fate has something unpredictable for him.
1335,guru,"situations turn a man, who believes in secularism, into an extremist. he plots to bomb a monastery, where the survivors of a riot take refuge."
1336,thaniyavartanam,"a school teacher living in a village belongs to a family with a history of lunatic males, and soon he falls prey despite being normal due to society misinterpreting his actions."
1339,ennu ninte moideen,"based on the real life love story of moideen and kanchanamala, which happened in 1960s in the backdrops of calicut."
1341,bharatham,"the retelling of epic ramayana through the lives of two brothers, their affection, their professional rivalry and the eventual transition of each person."
1342,gitanjali,"geethanjali and prakash, two terminally ill people with six months of life left, fall in love."
1343,namukku parkkan munthiri thoppukal,a beautiful and well told love story of a guy who falls in love with the newly moved neighbor girl. but the girl's situation was worst than he thought when he finds that the man who was told to be her father was her stepfather.
1344,perariyathavar,film tells the story of marginalized people in kerala through the life of a father who working as a temporary cleaner and his eight year old son.
1345,godfather,two youngsters from rival clans fall in love.
1346,oru vadakkan veeragatha,the film is based on a legend about the chekavar warriors.an alternative version of epic battle between two legendary chekavar's through villain's perspective.
1347,aranazhikaneram,"this film explores the disillusionment and worries of of an elderly man living in kerala, and as his family members and friends are shown is selfish ways..."
1349,vigathakumaran,"chandrakumar, son of a rich man in trivandrum is kidnapped by the villain bhoothanathan to ceylon. the efforts of his parents to find him do not succeed and chandrakumar is brought up as a ..."
1350,pathemari,narrates both the hardships and happiness that gulf life has provided to malayalees. the period from 1960 to the present form the context of the story.
1351,chatta,"its story revolve around a bullock seller and his family. it tells how his grief and lust leads him to destroy his family. balance k nair , nedumudi venue, achankunju, philomina,k p c ..."
1352,ka bodyscapes,"three young people, haris, a gay painter; vishnu, a rural kabaddi player and their friend sia, an activist who refuse to conform to dominant norms of femininity, struggle to find space and happiness in a conservative indian city."
1353,ramji rav speaking,three unemployed men find answers to all their financial problem when they decide to get involved in a kidnapping scheme.
1354,kilukkam,a tourist guide finds himself taking care of a mentally challenged girl with a troubled past.
1356,karma cartel,"a multi-award winning, avant-garde indian indie set in a southern city of india, following a reporters search for a missing actor, leads to revelation of multiple lives connected to it through greed and bad choices."
1357,thoovanathumbikal,"jayakrishnan falls in love with two girls, radha and clara, and fights his confusion about whom he should marry and spend his life with."
1358,manichithrathazhu,"unexpected happenings occur when the forbidden rooms of an old bungalow which is believed to be haunted by the ghost of a revengeful dancer, is opened."
1359,in harihar nagar,4 unemployed men who are in hariharnagar( a place ) tries to impress a newly came girl next door.the story goes to next level villan comes and asks his box containing money
1361,nadodikkattu,"after loosing their jobs, dasen and vijayan don't see any chances to get work in kerala. so both try to escape to middle east but ends up in tamil nadu, but can they find luck there?"
1362,sandesham,"a satire on contemporary kerala politics where brothers turn local leaders of rival parties, leading to distress to their aged and once-proud parents."
1363,vanyam,the film revolves around the reckless life of three youngsters who maliciously plan a heinous act of violence and the aftermath of their act.
1364,ozhivudivasathe kali,"five friends get together on a general election holiday for a booze party. as they started to booze, their inner characters started to come out. the fun mood dramatically changes.the game ..."
1365,shankarabharanam,"the story of a rare and exceptional bond between the master of classical music sankara sastry and his admirer tulasi, a woman from a family of prostitutes."
1367,sagara sangamam,a tale of struggles of a classical dancer balakrishna (kamal haasan) and his eventual redemption.
1368,kireedam,the life of a young man turns upside down when he intervenes in a dispute in order to rescue his father (a cop) from a ruthless local outlaw.
1369,ben,ben tells the story of a boy named ben who enjoys his simple countryside life.he is enrolled in an igcse school against his wishes.
1370,sita swayamvar,"lord vishnu's avatar, ram, decides to wed sita, the incarnation of goddess lakshmi and must face challenges from opponents."
1372,ollavum theeravum,"a muslim trader falls in love with his dead friends sister who is the daughter of a prostitute.[4] but her mother forces her to marry a wealthy man who have an eye on her, she rejected but was raped by him and commit suicide."
1374,lakshmana rekha,its a story about two brothers.
1379,odeyil ninnu,"a poor man living in kerela follows his heart and instincts to save a child from the gutter, brings her up with love..."
1380,thenmavin kombath,best friends fall in love with the same girl.
1381,left right left,"interlinked story of three men (an evil politician, an eccentric cop & a former revolutionist) with different perspectives on life resulted due to confrontation of death in their childhood."
1382,sadayam,"sadayam follows the final days of a condemned prisoner, for murdering two little girls."
1386,pattana pravesham,"the sequel to the blockbuster hit nadodikkattu (1987). just six months after the events of the prequel, c.i.d. ramdas (mohanlal) and c.i.d. vijayan (srinivasan) are called to kerala to find..."
1387,pinneyum,"purushothaman nair is jobless while his wife devi is a teacher and they have a daughter. movie speaks about love, romance and about the bond between family members."
1391,classmates,"college classmates meet for a 10-year reunion, which does not go as smoothly as planned. love is discovered, friendships are broken and secrets about tragic events in the past are revealed."
1397,thanmathra,he was the best father any son would dream of. his dream was to see his son as an ias officer. and he almost saw it.....almost
1398,dasharatham,"rajeev menon (mohanlal) is a wealthy orphan, a spoilt rich brat who grew up to be an eccentric millionaire. while his trusty manager (karamana janardhanan nair)takes care of his vast ..."
1401,ottaal,"ottaal (the trap) is an adaptation of one of anton chekhov's timeless works, vanka. a story of the 18th century, but one that has travelled the time and space to be retold in the present ..."
1402,pranchiyettan and the saint,"chirammal enashu francis, a.k.a. pranchiyettan (mammootty), is a successful businessman based in thrissur. he is a devotee of saint francis of assisi and often has imaginary conversations ..."
1403,maanasaandarapetta yezdi,"mechanic brothers pappi and chethanappi runs competing shops and frequently quarrel with each other. their favorite yezdi bike, used in the bike race to settle their fights comes in the possession of philipose."
1410,abhay,"a happy family moved into a village and choose a haveli as their abode. but they are not alone, a ghost is also there."
1411,innale,after a serious accident a girl who was hospitalized forgets her past. she stops worrying about her past when she fall in love with a man and finds herself secure with him. but the reality ...
1417,swathi kiranam,"the story of a classical singer, who finds it difficult to cope with the rising popularity of a child-prodigy."
1418,ponmuttayidunna tharavu,"sreensan is a goldsmith who is in love with urvashi. her father(innocent) doesn't approve , so sreenivasan tells her that he will call her out. urvashi convinces him to make her a 10 pavan ..."
1419,chidambaram,"muniyandi(sreenivasan), a laborer in the farm, believes and respects shivakami (smita patil). muniyandi brings shivakami to the farm after marrying her. she soon befriends shankaran (gopi)...."
1420,mudra,the movie revolves around a bunch of inmates in a juvenile home and the movie depicts several corruptions happening in such a facility.
1421,vatsalyam,familial strife follows a marriage across social classes.
1423,neelakkuyil,"an untouchable girl is found dead with her illegitimate child, the child is adopted by a postman, a high caste hindu..."
1424,yavanika,"yavanika (the curtain)...is the search for the truth..the truth behind the curtain (as it always be..), slowly unfolds as the story progress in a rapid pace and finally splits wide to it's ..."
1425,his highness abdullah,mohanlal is hired to kill nedumudi venu.
1426,birds with large wings,the film is a partially fictionalized representation of the environmental disaster caused by the misuse of endosulfan pesticide in kasaragod district of kerala in india. this disaster was ...
1427,sanmanassullavarkku samadhanam,"the only way gopalakrishnan can escape from certain bankruptcy is to sell the property he owns in the city and use the proceeds to settle his debts. to do that, he has to evict his tenants ..."
1428,udayananu tharam,an artist performs the best when is filmed unknowingly
1430,mannar mathai speaking,the hilarious trio from 'ramji rao speaking' faces a new trouble when the heroine of their drama group quits.
1432,ayalum njanum thammil...,"a story on how a brilliant and dedicated senior doctor molds an irresponsible amateur doctor into one much like him, and how a forbidden relationship comes in between."
1433,thavalam,thavalam movie is a real life story of muthu who lived around the ernakulam bus stand. sivan (suresh gopi) is a member of the gypsy group who roams around the cities to make a living. sivan...
1434,happy days,"the movie revolves around eight youngsters, who become good friends in their freshman years when they join the college for their bachelors in engineering (b.e.). the life of these young ..."
1437,saptapadhi,"somayajulu, an orthodox high-priest of a village temple weds his grand-daughter hema to his grand-son gaurinatha, also a priest by profession, without realising that she is in love with ..."
1442,chinthavishtayaya shyamala,"story of a wife who has to deal with her lazy, immature and irresponsible husband."
1443,varavelpu,a man coming from dubai tries to do social service to people by buying a bus but miserably fails due to the act to many politicians.
1444,thazhvaram,a man comes to an isolated valley to take revenge on his friend who murdered his wife.
1445,kaazhcha,pavan is a boy who reached kerala after he lost everything in the gujarat earthquake on the republic day. operator madhavan happens to meet the boy among the beggars. initially he dislikes ...
1446,oru cbi diary kurippu,the central bureau of investigation (cbi) led by sethuram iyer investigate an unnatural death.
1447,adaminte makan abu,"abu and aisumma are an aging muslim couple. their aspiration is to go for hajj and they make many sacrifices to achieve this aim. now in their late 70s, they decide that they will go for ..."
1448,memories,"sam alex, a drunkard ex-cop, is forced to investigate a series of murders which are committed in the same pattern. his search leads to a serial killer, and something more than what he expected."
1449,amaram,an uneducated fisherman wants her daughter to be educated and want her to become a doctor but his dreams get shattered when she falls in love with her childhood friend.
1450,traffic,an emotional thriller based on a road trip from kochi to palakkad. inspired from the real events that happened in chennai.
1451,pilgrimage,a depressed kathakali artist falls in love with a member of an aristocratic family.
1452,punjabi house,"when somebody mistakes you as deaf and dumb, and all the fortunes fall on you, what will you do.?"
1453,manjadikuru,"a story of homecoming from late 1970s, when 10 year old vicky arrives at his grandparents home in rural kerala to attend his grandfather's funeral. the disjointed family gathers together ..."
1457,anubhavangal palichakal,"an amoral, hypocritical worker with communist leanings learns the consequences of his callousness and redeems himself."
1464,kakkothi kaavile appoppan thaadikal,"lakshmi is kidnapped at a young age and grows up with a group of exiles. she befriends an orphan boy who calls her ""kakkothi"" through fate, who holds connections to her past."
1465,pooram,the movie progress and narrates the incidents in a drama set for a month in a village in kerala.
1468,ente entethu mathram,"mohanlal is a widower with baby shalini being his daughter. when karthika enters into his life as a secretary for his office, shalini takes an instant liking for her, which changes their life."
1471,balan,"described as the first malayalam sound film. the story features the struggles of two orphaned children, balan and his younger sister, oppressed and exploited by an evil stepmother until ..."
1473,anantaram,the film develops through a commentary by ajayan (ashokan) about himself in the first person. later he tells another story about his life with the same background. finally both these ...
1476,lekhayude maranam: oru flashback,the movie narrates the story of a poor malayalee family reaches madras to try luck for their daughter shantamma in the film industry.
1477,anu bandham,a young widow has a hard time making ends meet in a small village in kerala.
1479,panchavadi palam,"a henpecked politician wants his name attached to a new bridge, even if that means destroying another, perfectly serviceable bridge."
1480,parinayam,"the film is set in the pre-independence orthodox 'namboodiri' brahmin community. widowed at 17, only three months after being married to an old man, a young brahmin girl has, therefore, to ..."
1481,no: 20 madras mail,"enroute madras via train, when three friends get falsely accused of a mysterious homicide, they escape and desperately search for the real killer."
1482,kanyaka talkies,"while weaving a gripping story around the transformation of an old movie theater into a church, kanyaka talkies (virgin talkies) delves deep into the matrix of body, desire, pleasure and guilt."
1483,vandanam,"two cops tries to capture a jail-broken felon, a psychopath who seeks revenge on his adversaries, while one of the cops falls for the felon's daughter."
1484,bhargavi nilayam,an enthusiastic and talented novelist (madhu) comes to stay in a desolate mansion named bhargavi nilayam. the novelist and his servant cheriya pareekkanni (adoor bhasi) experience the ...
1485,ponthan mada,"set in 1940s, the film is about the irrational bonding of the low-caste ponthan mada with his colonial landlord sheema thampuran, who was expelled to british india from england during his youth for supporting the irish republican army. crossing the class boundaries, the two communicate through thampuran's window, with mada hanging from a palm tree."
1486,midhunam,will sethumadhavan be able to start his dakshayani biscuit factory.
1487,celluloid,"the story of j c daniel, who made the first ever malayalam film 'vigathakumaran' in 1928, resulting in his exile and eventual downfall."
1488,vietnam colony,"two men tries to persuade a bunch of colony residents to relocate to another location for the sake of a corporate project, while the residents including a number of goons, comes in their way."
1489,thalavattam,"vinod/vinu (played by mohanlal) is mentally ill and is hospitalized in the institution run by dr. ravindran ( m g soman). story progresses as vinod recovers with the help of dr. savithri, ..."
1490,kayyoppu,"balachandran (mammooty), an accountant with a fertilizer company, is also someone with deep passion for books and literature..."
1491,munnariyippu,first impression is not the best impression.
1493,meesha madhavan,its upto a petty thief to break a conspiracy to steal the village devi's idol.
1497,amen,"amen tells the story of people around an ancient nasrani church. the plot is set in a village, kumarankary, where its inhabitants are always garbed in white - a motif which the film deftly ..."
1499,mattoral,"hardworks done by balan (mammootty) to reunite his friend (karamana) and his wife (seema), who eloped with another man, after feeling an unsatisfied relationship."
1500,thinkalazhcha nalla divasam,two sons and their families get together to celebrate their mother's 60th birthday in their ancestral house. but problems develop when the younger son (mammootty) reveals his plan to sell ...
1501,ann mariya kalippilanu,"ann mariya, a jovial kid who happens to meet gireesh because of an unexpected event at her school. the rest of the story is all about their relationship and the changes that this relationship brings about in each others life."
1502,jal bin machhli nritya bin bijli,"alaknanda lives a wealthy lifestyle with her widowed dad, dr. verma. she is fond of dancing and singing to such an extent that she refuses to marry the groom her dad has chosen for, runs ..."
1503,vartha,the movie narrates the story of a journalist who fights against the corrupted government system.
1505,akkare akkare akkare,"after nadodikkattu (1987) and pattana pravesham (1988), cids ramdas and vijayan are back for another wacky adventure. after a priceless gold crown is stolen from india, ramdas (mohanlal) ..."
1506,dhruvam,"narasimha mannadiar is a village lord famous for his thirst for justice and fearlessness. hyder marakkar, a notorious criminal awaiting capital punishment has means to prevent it. mannadiar must battle to ensure that justice is prevailed."
1507,kalyanaraman,an old man (dileep) narrates his love story and about the curse his family possess to a bunch of teenagers.
1508,aparan,"viswanathan, new in town, soon learns that he is being chased by enemies of his look-alike, who is a con man. vishwanathan tries to find out uthaman before its too late, but things don't go as planned."
1509,"blue skies, green waters, red earth","kasi and suni go for the ride from kerala to nagaland in search of kasi's girlfriend. en route, they encounter different people who change their lives forever."
1511,kodiyettam,"sankarankutty, a village simpleton, lives a carefree life, indulges in childish pursuits, lives off the money given to him by his sister (working elsewhere as a servant), and eats quite ..."
1513,iyobinte pusthakam,"set in the pre-independent india, aloshi returns from the war to his estranged family and childhood love, only to find his elder brothers taking the side of a ruthless business man to overthrow their father."
1515,orkkuka vallappozhum,the return journey of an old man into the innocense of his past.
1517,pavithram,"a young man's relationship with his career, fiancee and brother is brought under stress by the birth of an unexpected sister."
1521,unto the dusk,"compulsion from parents and relatives cause a youth to reach the seminary. though pursuing the path of st. francis of assissi, the challenges and conflicts in life and seminary transforms ..."
1522,mahayanam,"chandran (mammootty) is a truck driver and ravi (mukesh), the cleaner of the truck. chandran is very affectionate towards ravi, for whom, chandran is like an elder brother. chandran spends ..."
1524,ohm shanthi oshaana,"a spirited young girl would stop at nothing to get the first love of her life, even if it takes seven years and several heartbreaks."
1525,panneer pushpangal,this is a bollywood version of
1526,oridathu,the movie narrates the story of a remote village and the incidents pertaining to the electrification during the post-independence period of india.
1528,daivathinte vikrithikal,"the film tells the story of alphonso, a man who chooses to suffer a slow, torturous life in his little village, in preference to fortunes and pleasures away from it."
1529,bioscope,the film bioscope is set in the second decade of the 20th century. the film unfolds in the backdrop of cinema making its appearance in kerala. the protagonist diwakaran's new journey begins...
1532,perumthachan,"in kerala legend, a pious and respected 'perumthachan' or master carpenter of mixed background, builds temples and statues which is renowned all over kerala. he falls in love with the '..."
1534,piravi,"raghu, the only son of raghava chakyar was born late for him. so he poured his entire love and affection on him. raghu, studying in an engineering college in a far away city has to arrive ..."
1536,ee adutha kaalath,"the movie features the lives of six different persons from different strata of the social life of the city, interconnected due to unexpected events beyond their control."
1537,ivan megharoopan,"ivan megharoopan is conceived as the eventful life journey of poet laureate k.p. madhavan nair, a character drawn from the life story of the great malayalam poet p. kunhiraman nair."
1538,kaaviya thalaivan,the lives of two theatre artists and the competition between them in a small drama troupe.
1539,summer in bethlehem,dennis (suresh gopi) and ravishankar (jayaram) tries to find ravishankar's secret admirer when ravi's relatives joins them to spend their vacation.
1541,shutter,the film portrays unexpected incidents happening in two days and a night in the city of kozhikode.
1542,action hero biju,"life and happening of an ordinary police officer biju who we have seen in the streets, in our neighborhoods and in our police stations."
1544,1983,"the story of rameshan, who looses his love and life due to his craze for cricket, and his final try to realize his big dream."
1545,jacobinte swargarajyam,revolves around a dubai based family comprised of the couple jacob and sherly and their four children. these siblings have varied interests and traits. they behave extremely different to the same situation.
1546,indian rupee,"the story is about the real estate business happening in kerala focusing on the city of calicut. surendran (prithviraj) is the central character of the movie, who happens to be a jobless ..."
1547,veendum chila veettukaryangal,"conflicts between a father and son, when the unemployed son brings his love to the family without the consent of the parents."
1548,kallan pavithran,"pavithran, a thief who was trying to sell stolen items meets a crooked merchant in the town. but an incident occurs afterward changing his entire life."
1554,sasneham,excellent drama about a couple from different caste and background facing challenges from their parents as they are about have a baby.
1555,irakal,irakal (english: the victims) is a 1985 malayalam psychological thriller film written and directed by k. g. george and produced by the then prominent actor sukumaran.the film is an in-depth...
1556,rat-trap,the protagonist is trapped within himself and is unable to comprehend the changes taking place around him.
1557,oppol,"6 year old appu is jealous when his mother malu, whom he knows as his elder sister, marries govindan."
1558,athirathram,tharadas is a ruthless smuggler whose uncle was murdered by rajesh. rajesh is married to thulasi who has dark past with tharadas. tharadas's cousin kills rajesh and accuses tharadas of the ...
1559,chanakyan,a man seeks the help of a mimicry artist to take revenge on a politician who has wronged him.
1560,o' faby,"o' faby tells the story of the friendship between the hero and the animated character, faby. the producer's son rockey played the hero role. the movie is about the various troubles the hero..."
1561,irupatham noottandu,the son of a kerala political chieftain leads a gold smuggling operation with a maverick partner.
1563,melvilasom,a single yet brilliant court martial session of a dalit soldier accused of killing a captain and attempting to kill another captain
1565,padayottam,a prince comes back to his native land to take revenge on those who conspired against him. inspired from the novel the count of monte christo
1566,beautiful,an extra-ordinary friendship between a physically paralyzed millionaire and a small time singer.
1568,thirakkatha,"film director akbar, after his extremely successful first film, decides to base his second film on the life of a very popular yesteryear actress malavika, whose present whereabouts are not known."
1569,unaroo,"mani ratnam's only malayalam film starring ratheesh,mohanlal and sukumaran.film is a critically acclaimed social drama based on trade union issues."
1571,katha parayumpol,"a local barber, due to the immense pressure put by his family and and townspeople, tries to communicate with his old friend, who is a popular cinema actor."
1572,chenkol,"the sequel to kireedam (1989), chenkol continues the story of sethumadavan who hopes to regain his lost life after 8 years in prison."
1574,mrigaya,"plot is of a village in kerala away from facilities .there has been atttack by a leopard every year .to get an end to this the villager calls for a hunter , cheeru (mammoty) the son of a ..."
1575,spirit,raghunandan is an ex-bank of england employee who resigned his lucrative job because he was bored with the rather sedentary and mundane nature of his work. he chose journalism as his next ...
1576,north 24 kaatham,"fahad fazil is a geeky software professional who suffers from an obsessive-compulsive disorder. on a trip to trivandrum for a conference, he ends up at paravur railway station with two ..."
1583,vellimoonga,a happy go lucky politician is smitten by a girl half his age and tries his luck winning her hand.
1585,kamaladalam,"the story of love, grief and betrayal with the back drop of dance and arts."
1586,aalkkoottathil thaniye,the impending death of an ailing schoolteacher forces a set of uncomfortable reunions between mourners.
1589,poovinnu puthiya poonthennal,"a man takes in a child he finds on the street, and saves him from the clutches of two killers, as he tries to unlock the mystery and origins of the child."
1592,rajavinte makan,the film follows underworld don vincent gomas (mohanlal) and his rivalry against the kerala home minister n. krishnadas (ratheesh).
1593,nokketha dhoorathu kannum nattu,"girly, who has a serious brain disease, spends her final days with her grandma."
1594,meleparambil aanveedu,"a young man marries a tamil girl, and fearing his family, he brings her to the house as a servant. problem starts when his elder brothers falls for her too."
1595,kattathe kilikoodu,good film fore kattathe kilikood very nice acting in this film mohanlal
1596,ain,this cinema discusses the relationship between individual and society in the background of muslim community in malabar area. maanu is one who cannot identify his belonging anywhere. umma (...
1597,passenger,"two guys, who never had anything to do with one another, come into each others lives."
1598,ozhimuri,"a 55-year old woman files a divorce petition against her 71-year old husband, after over 30 years of married life. their son, and a female advocate searches for the reason and circumstances, changing their perception about some people."
1599,thenkasipattanam,two friends think they have set each other with the right women.but things are not as it seems.
1600,manassinakkare,"kochu thresia, is a rich widow, who craves to 'live' life, but is alienated by her children who are caught in the rat race for making money. at this juncture, she meets the young, ..."
1601,january oru orma,a story of an unauthorised guide who lives in kodaikanal.and he meets a family .and he fall in love with a girl in family.
1603,daisy,an expressive depiction of love and separation set in a boarding school.
1604,mythri,siddarama (aditya) is a slum dweller yet an very intelligent guy. he lives with his mother who works in an agarbatti (incense sticks) factory to make ends meet. one of the pranks lead him ...
1607,new delhi,"after exposing the wrong-doings of two corrupt politicians, delhi-based journalist, vijay kumar, is beaten to such an extent that he becomes partly paralyzed, and is imprisoned. the two ..."
1608,arabikkatha,story of a strong politician who travels to dubai for a fake depth
1611,vazhve mayam,a love story featuring a pilot and an air hostess.
1617,revathikkoru pavakkutty,"revathi's parents separated when she was young, and she was raised by her mother who taught her that her father was a bad man. years later , with her father sick, he send's a last wish to ..."
1619,ente upasana,the movie narrates the story of an unmarried mother and the tribulation she faces in her life.
1620,101 chodhyangal?,story of a 12 year old boy given a task of framing 101 questions by his teacher- without worrying about the answers. the plot moves around his life and the questions - that are intertwined ...
1623,ente mamattikkuttiyammakku,a couple who lost their daughter in an accident decides to adopt a girl from the local orphanage. but problems arise when the child's real mother seeks to find her.
1624,kariyila kattu pole,deputy superintendent of police achuthankutty tries to solve the mystery of film director harikrishnan's death. three women are the main suspects.
1626,salt n' pepper,"the story of a few foodies, whose fondness of food bonds them together."
1627,commissioner,bharathchandran ips brings to justice a delhi-based business tycoon.
1629,philips and the monkey pen,"ryan philips (master sanoop) is a smart cute school boy who has one biggest problem: maths. as he struggles to escape from doing his maths homework, he resorts to mischievous acts, little ..."
1630,neram,can a young man escape from the clutches of a loan shark on time?
1631,thattathin marayathu,a hindu boy falls in love with a muslim girl.
1633,kerala cafe,ten stories meet at kerala cafe.
1634,big b,"after their foster mother was murdered in cold blood, four brothers try to find out the truth behind the death."
1637,narashimham,"story of induchudhan, whose life after a prison sentence for which he is wrongly convicted, and his revenge."
1638,22 female kottayam,"determination of a 22 year old nurse tessa from kottayam, who was betrayed and raped, in taking revenge on her tormentors."
1639,ok kanmani,"two young lovers are compatible in every way - they even agree that marriage is futile. however, their emotions are not so easily managed, especially when they witness the unconditional love of the older couple with whom they live."
1640,vachanam,the movie revolves around a monastery run by the spiritual head vishnuji and the mystery behind the murder of ravi.
1641,imagi ningthem,a teacher comes to a village and an old man asks her to tutor his grand son who is sickly all the time. the teacher becomes curious to know about the old man and the boy. she finds out from...
1647,ishanou,"the harmony in a family in the manipur valley, is disrupted by the sudden transformation of a gentle, young wife into a violent woman prone to fits of wild visions. she then goes in search ..."
1648,sanabi,"sakhi is a divorced woman who is a dancer at the state dance academy. one day, a thief falls in love with her after seeing her performance and in order to gain her attention he steals her horse."
1649,atmavishwas,"rajni tendulkar gets married to a printing press owner, a.a. mangalkar, and has her name changed to aarti. both become parents to 3 children, abhay, asavari, and ajinkya. then mangalkar's ..."
1651,ashi hi banwa banwi,dhananjay makes parshuram and sudhir to act as his and his brothers wife as the landlady only wants married couples. what will happen when the landlady will come to know the truth and how will they all face her as she is very lovable to all.
1653,sanngto aika - hear me out,a drunkard stand up comedian finds himself all alone at the crossroads of life when he is entangled by political stooges to take the fall for a crime he has not committed. his loving wife ...
1655,gojiri,"widower tatya lives a middle-class lifestyle in a small village off of the konkon coastline in maharashtra, india, along with his daughters, gojiri and mentally challenged suha. on suha's ..."
1656,the truck of dreams,the story of a young village girl who abandons her life and follows her dreams with the help of a traveling cinema.
1657,chaani,fisherwoman is illegitimate daughter of englishman and local woman on the konkan coast.
1659,yellow,the story explores a mother daughter relationship and behavior of a child with down's syndrome.
1662,family katta,"'family katta' is the story of a splintered family, at the head of which are bhai and malati, a couple celebrating their golden jubilee wedding anniversary. their children and grandchildren..."
1663,than than gopal,a comic satire on myths indians have about a certain issue.
1664,biker's adda,"this marathi film is unlike any marathi film and is based on the westernized concepts of biking, bike races and biking clubs. such a club is biking adda started by krrish and his two ..."
1665,rama madhav,a young royal couple come of age grappling with the intrigues of the court in this celebratory account of maratha history.
1666,amar bhoopali,veteran director v. shantaram spins this biopic about poet and musician honaji bala - best know for popularizing the lavani dance form and for writing the classic raga ghanashyam sundara ...
1667,highway ek selfie aarpar,"highway is a story of a simple, routine mumbai- pune journey that our characters begin in separate vehicles. they all come from different walks of life, carrying their own baggage of what ..."
1668,ratra aarambh,the story revolves around the two worlds inhabited by prabhakar phadke / vasudeo balwant thombre - dilip prabhavalkar - an ordinary senior citizen who is an avid reader of crime fiction. ...
1670,akalpith,"a jury is called to record the statement of a suspected psycho killer, but his statements takes jury members on a ride of possibilities. more they dwell into the mind of this psychotic person, more they see a perspective of a twisted mind."
1672,astu - so be it,"astu - so be it is a feature film with duration 123 min's .the film revolves around mr. shastri, a retired sanskrit professor who in due course suffers with alzheimer's goes missing while ..."
1673,hemalkasa,"biopic on dr. prakash amte, the selfless doctor and social worker who devoted his life towards the development and upliftment of the tribal people in the forests of western maharashtra."
1674,mumbaicha fauzdar,sweet and sour love story of a police officer in mumbai and his village belly wife.
1675,nagrik,"a journalist for a leading newspaper, while he tries to expose a political conspiracy, unravels the nexus between politics, business and the media and comes in contact with the real world of hypocrisy and sham."
1676,sakharam binder,sakharam binder takes a scathing look at a man's reckless lifestyle in rural konkan.
1678,sail,"advocate ratnakar meets with vidya, both fall in love with each other and get married. shortly thereafter they give birth to a daughter, mitwa, and son, avi. ratnakar then starts working ..."
1679,khwada,"""it is a story about shepherds who suffer from land acquisition by the forest department and how their dreams of a settlement get shattered by different obstacles, leading them to migrate permanently."""
1680,hou de jarasa ushir,"hou de jarasa ushir is the story of three people, each one fighting a lonely battle trying to balance work and life."
1681,aaram haram aahe!,"sudha godbhole lives a poor lifestyle in bombay along with her widowed mother and works as a secretary, earning a salary of rs.300/- every month. she meets with and falls in love with her ..."
1682,half ticket,a story of the 'have nots' struggling to survive in a world of 'haves'.
1683,kapus kondyachi goshta,"this is a true story of 4 sisters that chronicles the victory over social ostracisation, poverty and hardship."
1685,postcard,the film reveals the stories of three people whose lives are dependent on the incomplete letters.
1686,katyar kaljat ghusali,"a clash of two musical families, where in the end, music is the winner. when greed takes the front seat, manipulations shift gears. a race starts, a race that kills whatever comes across ..."
1687,janiva marathi film,can you take law in your hands to give justice to a victim you don't know? how far will you go to make the govt realize the need of changing the system?
1688,the silence,a young lady witnesses a crime in mumbai which forces her to confront demons from the past
1689,badam rani gulam chor,"it is a comic story of four characters pustak, pencil, chaku and makad."
1691,ventilator,"gaji kaka who never makes an appearance is breathing his last in the hospital few days before the ganpati festival. as the news of his illness spreads, the entire extended family gathers to..."
1692,koti,"every human being has right to live like a human being ,but some social customs are stand against humanity in rural india ,if there is any child is enough of son behaves feminine. the rural..."
1695,manoos,"a love tragedy featuring a policeman, ganpat (modak) and a prostitute, mainal (hublikar). ganpat saves maina from a police raid on a brothel and they fall in love. her reputation and sense ..."
1696,dombivli fast,a common man fights against the corruption and injustice happening around him.
1697,brahmachari,"this film addresses the rashtriya swayamsevak sangh (rss), a hindu organization emphasizing celibacy and discipline, which became the power base of the right-wing bharatiya janata party (..."
1699,aflatoon,"babanrav comes to the city in search of a living. he is mistaken as baadshah by baadshah's gang and bajarang rav, a police constable, who wants to get hold of baadshah."
1700,gadhvache lagna,savlya who goes to haven and meets lord indra and after returning to earth he takes challenge to build a 7 storey building in one night and his donkey will marry kings daughter and this is being done by savlya because of will of donkey.
1701,welcome zindagi,"welcome zindagi is a dark comedy about a girl who wants to end it all, and a boy who will change her perception of life."
1703,balak palak,helps parents to realize how important it is to communicate transparently with your child.
1705,babu band baja,"a tug-of-war between fate and hope. it shows the irrepressible surge to soar in life, pitted against the vicious grip of circumstances."
1706,ek hazarachi note,"in this exploration of money and conscience, a poor woman receives a thousand-rupee note from a politician at election time, but the note proves to be a mixed blessing."
1707,bin kamacha navra,tukaram a lazy husband interested only in every woman rather than his wife.
1708,not only mrs. raut,"aditya dandavate is not the public prosecutor in this case, instead he was raghuvir karkhanis's lawyer in a previous rape case."
1709,mohityanchi manjula,"the year is 1654, and king shivj of mahrsht.ra, india, is determined to annex the fortress of jval.. bahirj nik, a master of disguise, gets the assignment. meanwhile, a fearless and..."
1710,pheka pheki,pheka pheki was released in 1990. produced by chelaram bhatia along with lalchand bhatia & directed by bipin varti. the movie is a laughter riot when one lie leads to another resulting in a...
1711,nital,story revolves around a girl having vitiligo and her relationship with her lover or would be life-partner and his family. film highlights the social stigma around around vitiligo. film is ...
